Title,Year,Genre,Rating,Certificate,Directors,Cast,Description,Runtime
Strictly Sinatra (2001) ,2001,"Drama, Music, Romance",5.7,R,['Peter Capaldi'],"['Ian Hart', 'Kelly Macdonald', 'Brian Cox', 'Alun Armstrong', 'Tommy Flanagan', 'Iain Cuthbertson', 'Una McLean', 'Jimmy Chisholm', 'Jimmy Yuill', 'Richard E. Grant', 'Jimmy Tarbuck', 'Stewart Ennis', 'Paul Doonan', 'Anne Lacey', 'Alex Howden', 'Doug Eadie', 'James Murphy', 'Brian McDermott', 'Alex McAvoy', 'Pauline Lockhart', 'Billy McColl', 'Iain Fraser', 'Calum Beaton', 'Paul Darroch', 'Chris Patrick', 'Lisa Stuart']","Strictly Sinatra: Directed by Peter Capaldi. With Ian Hart, Kelly Macdonald, Brian Cox, Alun Armstrong. Small-time crooner find himself on the receiving end of the threatening attentions of a gangster, whose wife has fallen for the singer's Sinatra-like aura.",97
Freez'er (2001) ,2001,"Horror, Thriller",4.5,,['Brian Avenet-Bradley'],"['Barnes Walker III', 'Carrie Walrond Hood', 'John L. Altom', 'Kendall Dreyer', 'Sarah Paul', 'Laurence Avenet-Bradley', 'Brian Avenet-Bradley']","Freez'er: Directed by Brian Avenet-Bradley. With Barnes Walker III, Carrie Walrond Hood, John L. Altom, Kendall Dreyer. Unable to cope with his wife's death, J.M. flees to his sister's desolate farm where he was married one year ago. There, he finds himself haunted by memories and visions of his dead wife, Andrea.",
Jack of Diamonds (2001) ,2001,"Action, Adventure, Crime",4.6,,"['Jon Kirby', 'Mitchell Morgan']","['Crispin Manson', 'Jodie Mcmullen', 'Steve Sweeney', 'Thomas Long', 'Elizabeth Powers', 'David Spinx', 'Koullis Kyriacou', 'Michael Sheldon', 'Andy Lucas', 'Peter Pacey', 'William Wilde', 'Sara-Marie Maltha', 'Chad Shepherd', 'David Schaal', 'Ray Gardener', 'Jerry Ezekiel', 'David Allcock', 'Chick Allan', 'Ted Heath', 'Lee Murphy', 'Sarah Wilson', 'Ros Walker', 'Ian Stewart', 'Simon Jacyna', 'Sarah King', 'Athan Bellos', 'Derek Nesbeth', 'Martin McGreechin', 'Margaret Milner']","Jack of Diamonds: Directed by Jon Kirby, Mitchell Morgan. With Crispin Manson, Jodie Mcmullen, Steve Sweeney, Thomas Long. Two jewel thieves take refuge in a remote village where, unbeknownst to them, the government is about to unleash a virus that turns people into savage killers.",
Lara Croft: Tomb Raider (2001) ,2001,"Action, Adventure, Fantasy",5.8,U,['Simon West'],"['Angelina Jolie', 'Jon Voight', 'Iain Glen', 'Noah Taylor', 'Daniel Craig', 'Richard Johnson', 'Chris Barrie', 'Julian Rhind-Tutt', 'Leslie Phillips', 'Robert Phillips', 'Rachel Appleton', 'Henry Wyndham', 'David Cheung', 'David K.S. Tse', 'Ozzie Yue', 'Wai-Keat Lau', 'Carl Chase', 'Olegar Fedoro', 'Richenda Carey', 'Sylvano Clarke', 'Ayla Amiral', 'Stephanie Burns', 'Anna-Maria Everett', 'Tamsier Joof Aviance', 'Gary Bunn', 'Sonny Caldinez', 'Steve Darts', 'Ray Donn', 'James Embree', 'Aidan Harrington', 'Jon Ioannou', 'Prince Thompson Iyamu', 'Jimmy Roussounis']","Lara Croft: Tomb Raider: Directed by Simon West. With Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor. Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.",100
To Protect and Serve (2001) ,2001,Comedy,6.9,,['Joseph Perez'],"['Matthew Ansara', 'Steve Bakken', 'Justin Carroll', 'Michael Corbett', 'Ed Corbin', 'Steve DeRelian', 'Fritz Greve', 'Angela Harry', 'Ashley Hughes', 'Larry Flash Jenkins', 'Ben Murphy', 'Tim Nistler', 'Chrystianne Rochat', 'Frayne Rosanoff', 'Ric Sarabia', 'Michael Bailey Smith', 'Francoise Surel', 'Jake Wade Wall', 'Jeffrey Weissman']","To Protect and Serve: Directed by Joseph Perez. With Matthew Ansara, Steve Bakken, Justin Carroll, Michael Corbett. Filmmaker rides around with two veteran LAPD officers to document the mean streets of Los Angeles. A wonderful character study, as well as a delightfully comic misadventure. An organically funny addition to an often ill-used genre; the mockumentary.",
Getting the Dirt on Trish (2001) ,2001,,5.6,,['Sue Brown'],['Sue Brown'],"Getting the Dirt on Trish: Directed by Sue Brown. With Sue Brown. Trish and Jodi, two feuding sisters, are forced to live together when Trish desperately needs to hide from a vengeful lover.",
Still Life (2001) ,2001,Drama,5.6,Not Rated,['Mike Flanagan'],"['Jamie Sinsz', 'Zak Jeffries', 'Natalie Roers', 'Michael Caloia', 'Steve Thomas', 'Kara Webb', 'Christopher Cridler', 'Brian Gunning', 'Cara Cylus', 'Harry Rossen', 'Amy Hash']","Still Life: Directed by Mike Flanagan. With Jamie Sinsz, Zak Jeffries, Natalie Roers, Michael Caloia. Details the trials and tribulations of four student photographers who collaborate on one final project before graduation. Caught sharing photos in their portfolios, David, Karma, Danny, and Kevin are given a chance to save their final grade before graduation. Danny returns home that night to find his fiancé Stephanie in bed with another man. Unnoticed and enraged, he photographs them in the act, and shares the picture with the others. Inspired by the raw nature of the photograph, the four friends agree to use it as the thesis for their new portfolio... capturing subjects at their most vulnerable. Soon, their exploitative behavior begins to tear apart their lives and relationships, and they must come to terms with the harsh truths of their lives through the lens of a camera.",90
Guardian (2001) ,2001,"Action, Sci-Fi, Thriller",3.9,R,['John Terlesky'],"['Mario Van Peebles', 'James Remar', 'Stacy Oversier', 'Daniel Hugh Kelly', 'Ice-T', 'Karina Lombard', 'Michael Chinyamurindi', 'Phyllis Lyons', 'Nancy La Scala', 'Dey Young', 'J.R. Cacia', 'Steve Zad', 'Marshall Manesh', 'Douglas Weston', 'Iqbal Theba', 'David Ackert', 'Todd McKee', 'Ali Afshar', 'Kelly Haren', 'David Gerard Robinson', 'Jan Harrelson', 'Chloe Taylor', 'Jason Lasater', 'Ammar Daraiseh', 'Eddie Matthews', 'David Lea', 'Arnold Chon', 'William Calhoun', 'Charley Rice']","Guardian: Directed by John Terlesky. With Mario Van Peebles, James Remar, Stacy Oversier, Daniel Hugh Kelly. After two L.A.P.D. detectives investigate a violent crime spree, they discover a new drug linked to a terrifying supernatural power.",89
Honeybee (2001) ,2001,"Drama, Sport",3.7,Not Rated,['Melvin James'],"['Senait Ashenafi', 'P. Anthony Perea', 'Antwan Mills', 'James Avery', 'Gayle Samuels', 'Poprah', 'Corinne Van Ryck de Groot', 'Victor Carr', 'Jamie Poppingo', 'Roxzane T. Mims', 'George W. Scott', 'Malcolm', 'Shantilata Stone', 'Marie Davis', 'Sonja Bird', 'Trinita Turner', 'Fred Russell', 'Leslie Boston', 'Gwen Waymon', 'Heath Gunn', 'Thom Scott II', 'Art Gonzalez', 'Alton Kennedy', 'DeGayle', ""T'Resay Drape-Jones"", 'Eric Williams', 'Matt Baker', 'Mark Murdock', 'Tia Mims', 'Nina Ahlin', 'Chrystale Wilson', 'Gaylord Parsons', 'Neil Hazard', 'Yvetta Young', 'JoAnna Lorene', 'Nasir Rahim']","Honeybee: Directed by Melvin James. With Senait Ashenafi, P. Anthony Perea, Antwan Mills, James Avery. A young black woman drops out of college against her Father's wishes to pursue a career as a professional boxer.",90
Memphis Bound... and Gagged (2001) ,2001,Comedy,8.6,,['Tamar Halpern'],"['Betsy Brandt', 'Hayes Urban', 'Bonnie J. Kirk', 'William Jones', 'Marcia Loring', 'Seth Kanor', 'Tenny Priebe', 'Jefferson Breland', 'Jordan Halpern Schwartz', 'Doug Stanhope', 'Christo Brock', 'Vince Duvall', 'Brett Baker']","Memphis Bound... and Gagged: Directed by Tamar Halpern. With Betsy Brandt, Hayes Urban, Bonnie J. Kirk, William Jones. The story of a chaotic family road trip to Graceland.",
A Woman's a Helluva Thing (2001) ,2001,"Comedy, Drama, Romance",5.1,R,['Karen Leigh Hopkins'],"['Angus Macfadyen', 'Penelope Ann Miller', 'Ann-Margret', 'Kathryn Harrold', 'Nicole Nieth', 'Barry Del Sherman', 'Mary Kay Place', 'Paul Dooley', 'Millie Perkins', 'Karen Leigh Hopkins', 'Harry Nelken', 'David Warburton', 'Alissa Kramer', 'Heidi Kramer', 'John Robinson', 'Victor Cowie', 'Patti D. Grayson', 'Peter Johansson', 'Dexton Fehr', 'Martine Friesen', 'Stan Lesk', 'Nadine Davidson', 'William C. Backman', 'Casey McKay', 'Sharon Bajer', 'Milt Bruchanski', 'Nancy Jane Drake', 'Anthony Allen', 'B. Pat Burns', 'James Durham', 'Thomas Kilzer', 'Hilary Shepard', 'Mark Mendonca', 'Jonas Chernick', 'Lara Del Arte', 'Cliff Sumter', 'Jason Ruta', 'Rebekah Ryan']","A Woman's a Helluva Thing: Directed by Karen Leigh Hopkins. With Angus Macfadyen, Penelope Ann Miller, Ann-Margret, Kathryn Harrold. After the death of his estranged mother, a womanizer discovers that they had a lot in common.",89
The Demo Crew (2001) ,2001,"Action, Drama, Sport",5.4,,['John E. Vitali'],"['John E. Vitali', 'Susan Blake', 'Robert Pascucci', 'Tony Devon', 'Freddie Ganno', 'Bryan Donoghue', 'Jamie Lokoff', 'Claudio Baccile', 'Claire Furia Smith', 'Monique Marissa Lukens', 'Chrismandu', 'Dann Furia', 'Terrence Gehr', 'Rodney Gray', 'Frank McCall', 'Seamus Mee', 'Laura L. Cottrel', 'Francis J. Ferrara', 'Michael Vitali']","The Demo Crew: Directed by John E. Vitali. With John E. Vitali, Susan Blake, Robert Pascucci, Tony Devon. In order to make his legal problems disappear, ANTHONY VALENTINE agrees to form an amateur men's street hockey team and represent his home town in a state-wide tournament. Although he sees this as an opportunity to keep the old gang together, the old gang does not, and very reluctantly plays along half heartedly, until one of their teammates is killed in an auto accident. Suddenly the young men feel a sense of loyalty, bond together to become better friends than they ever were, and make a pact to play this tournament in honor of their deceased buddy. With the hometown behind them and a fallen brother watching down, the team strives for the title, not knowing that, win or lose, they've already become champions.",
Time's Up! (2001) ,2001,Drama,6.6,,['Cecilia Barriga'],"['Leonor Benedetto', 'Douglas Santiago', 'Marvin Starkman', 'Cristina Hernández', 'Jon Bennett', 'Oscar A. Colon', 'Rick Poli', 'Blanca Camacho', 'Mauricio Bustamante', 'Alan Benson', 'Jane Campbell', 'Sourabh Chatt', 'Celeste Ciulla', 'Susan Levin', 'Alicia Scherson', 'Ruth Sherman', 'Jeff Sugarman', 'Ching Valdes-Aran', 'Andrea Videla']","Time's Up!: Directed by Cecilia Barriga. With Leonor Benedetto, Douglas Santiago, Marvin Starkman, Cristina Hernández. An Argentinian psychiatrist, who fled her country under the most dire circumstances to assume a new life in New York City, struggles in a search for her identity while carrying the burden of her past and that of her strong dedication to her new patients.",
The Wise Ones (2001) ,2001,Comedy,8.2,,['Chris Matheson'],['David Meyers'],The Wise Ones: Directed by Chris Matheson. With David Meyers.,
Plan B (2001) ,2001,"Comedy, Crime, Drama",4.4,R,['Greg Yaitanes'],"['Frank Pellegrino', 'Paul Sorvino', 'Anthony DeSando', 'Diane Keaton', 'Nick Sandow', 'GlennThomas Cruz', 'Raymond Franza', 'Louis Vanaria', 'Bruno Iannone', 'Maury Chaykin', 'Bob Balaban', 'John Ventimiglia', 'Traci Ann Wolfe', 'Natasha Lyonne', 'Michael Allinson', 'Burt Young', 'John Rothman']","Plan B: Directed by Greg Yaitanes. With Frank Pellegrino, Paul Sorvino, Anthony DeSando, Diane Keaton. A bookkeeper who thinks she killed three mobsters is subsequently promoted by her boss to be a hitman.",98
Rennie's Landing (2001) ,2001,Drama,5.4,R,['Marc Fusco'],"['Charlotte Ayanna', 'Ethan Embry', 'Peter Facinelli', 'Scott Foley', 'Jennifer Garner', 'Jeff Anderson', 'Debra Christofferson', 'Gabriel Olds', 'Charles Walker', 'Gary Werntz', 'Kiele Sanchez', 'Victor McCay', 'Annalouise Paul', 'Paul Dooley', 'Lenny Goldsmith', 'Jan Bartlett', 'Candace Kita', 'Mike Gabrawy', 'Kiesha McCorry', 'Diane Hudock', 'Parker Swanson', 'Stef Zamorano', 'Sarah Zinsser', 'David Aronson', 'Michael Garrity', 'Aaron Skalka', 'Deeonna Lanay', 'Frank Novak', 'Ben Falcone', 'Keesia Kordelle', 'Eugene Wells', 'Laura Wells', 'Callan White', 'Tom McComas', 'Ric Payne', 'Sean Patrick Murphy', 'Annie Abbott', 'Lorraine Montgomery', 'Andy Greenberg', 'Debra Snell', 'Brandon Johnson', 'Shane Brolly', 'Adam Carrera', ""Don 'Tex' Clark""]","Rennie's Landing: Directed by Marc Fusco. With Charlotte Ayanna, Ethan Embry, Peter Facinelli, Scott Foley. Fate reuintes college friends a year after graduation and they decide to recapture the idealistic spirit of their college days.",103
Fast Sofa (2001) ,2001,"Adventure, Drama",4.6,R,['Salomé Breziner'],"['Jake Busey', 'Crispin Glover', 'Natasha Lyonne', 'Adam Goldberg', 'Eric Roberts', 'Jennifer Tilly', 'Bijou Phillips', 'Lee Ving', 'Glenn Shadix', 'Darling Narita', 'Danny Comden', 'Gabriel Byer', 'Ginger Kinison', 'Tina Marie Clifford', 'R. Scott Loughran', 'Vincent Riverside', 'Charlene Rose', 'Antonio McKay', 'Audrey Ruttan', 'Denise Vlasis', 'Andrew Jaimez', 'Richard Presley Jr.', 'Armando Lopez', 'Ron Jeremy', 'Mario R. Coello', 'Inna Swann', 'Leon Walls', 'Tim Womack']","Fast Sofa: Directed by Salomé Breziner. With Jake Busey, Crispin Glover, Natasha Lyonne, Adam Goldberg. Rick loses his girlfriend to his friend when he spends a night with his favorite porn star. He moves out, picks up a weirdo and goes on a wild road trip to find the porn star again.",109
Treading Water (2001) ,2001,"Drama, Romance",5.5,,['Lauren Himmelvo'],"['Angie Redman', 'Nina Landey', 'Annette Miller', 'Robert Harte', 'Shawn Nee', 'Richard Snee', 'Lysa Apostle', 'M. Lynda Robinson', 'Morgan Nevins', 'Robert Pemberton', 'Gideon Banner', 'Richard Frazier', 'John Franchi']","Treading Water: Directed by Lauren Himmelvo. With Angie Redman, Nina Landey, Annette Miller, Robert Harte. Casey has rejected her privileged upbringing and restores old boats for a living. She lives with her beautiful social worker girlfriend Alex in what seems like a cozy new life until her stuffy family demands that she come home for Christmas - without Alex.",
Viva Las Nowhere (2001) ,2001,"Comedy, Crime, Drama",5.7,R,['Jason Bloom'],"['Daniel Stern', 'James Caan', 'Patricia Richardson', 'Lacey Kohl', 'Sherry Stringfield', 'Larry Reese', 'Andy Maton', 'Shaun Johnston', 'Tim Abell', 'Daren Christofferson', 'Skerivet Daramola', 'Taylor Pardell', 'Carrie Schiffler', 'Don Bland', 'Freddie Childress', 'Dan Duguay']","Viva Las Nowhere: Directed by Jason Bloom. With Daniel Stern, James Caan, Patricia Richardson, Lacey Kohl. The life of motel owner is turned upside down by a femme-fatale lounge singer and her abusive manager.",97
Den (2001) ,2001,"Thriller, Drama, Horror",4.3,,['Greg Arce'],"['Greg Arce', 'Stephanie Rettig', 'Lee Schall', 'Dana J. Ryan', ""Sabrina O'Neil""]","Den: Directed by Greg Arce. With Greg Arce, Stephanie Rettig, Lee Schall, Dana J. Ryan. A serial killer, with a religious secret, captures four victims and plays a deadly game of Q & A. The winner is promised to come out alive from this ""wreck"" room where truth, sin and religious faith are the game of choice.",
Like Father (2001) ,2001,Drama,6.8,,"['Richard Grassick', 'Ellin Hare', 'Sirkka-Liisa Konttinen', 'Murray Martin']","['Ned Kelly', 'Joe Armstrong', 'Jonathon Dent', 'Anna-Marie Gascoigne', 'Derek Walmsley', 'Willie Ross', 'Brian Hogg', 'Ashley Gutsell', 'Peter Dougherty', 'Jay Foulds', 'Garry Everist', 'Jackie Surtees', 'Joe Jones', 'John Reid', 'Amber Styles', 'Denise Dobson', 'Joe Caffrey', 'Mike Mold', 'Trevor Fox', 'Fiona Williams', 'Alan Coates', 'James Hanson', 'Marylin Johnson', 'Robert McKenna', 'Parry Anthony', 'Jeffrey Oswell', 'James Dixon', 'Graham Rigby', 'Ian Gourlay', 'Ken Pipes', 'Colin Woodland', 'John Hayden', 'Frankie Charlton', 'Jack Bostock', 'Bill Donkin', 'Katja Roberts', 'Brian Ross']","Like Father: Directed by Richard Grassick, Ellin Hare, Sirkka-Liisa Konttinen, Murray Martin. With Ned Kelly, Joe Armstrong, Jonathon Dent, Anna-Marie Gascoigne. A feature drama exploring the lives of a grandfather, father and son, as they come to terms with the post-closure landscape of East Durham.",
Dirt Boy (2001) ,2001,"Crime, Drama, Mystery",4.8,Not Rated,['Jay Frasco'],"['Jacob Hedman', 'Luca Bercovici', 'Arthur J. Walsh', 'Michelle Guthrie', 'Lonnie Farmer', 'Fran Devasto', 'Mary-Beth Holland', 'Michael Zammito', 'Eddie McCabe', 'Virginia Polack', 'Dossy Peabody', 'Robert C. Rubin', 'Michael Mendelson', 'Donnie Moorhouse']","Dirt Boy: Directed by Jay Frasco. With Jacob Hedman, Luca Bercovici, Arthur J. Walsh, Michelle Guthrie. THE TERRIFYING BEST SELLING NOVEL!",90
Card Sharks (2001) ,2001,"Action, Comedy",7.3,,['Alfonso Posada'],"['Russell Lawrence', 'William Wayne', 'Suzanne Sheikh', 'Garrett Banos', 'Steve Qatto', 'Steve Gonzales', 'Michael Sean Tighe', 'Chilembwe M. Mason', 'Philip Digiacomo', 'Eric Mosley', 'Scott Petche', 'Tammy Le Blanc', 'Karen Pellant', 'Steve Brown', 'Max Wasserman', 'Noelle Arzillo', 'Christina Colby', 'Micquel Easley', 'Brooke Nichols', 'Ovidio Lopez', 'Ishtar Uhvana']","Card Sharks: Directed by Alfonso Posada. With Russell Lawrence, William Wayne, Suzanne Sheikh, Garrett Banos. Four friends get in more trouble than they can handle with the underworld.",
Ghost World (2001) ,2001,"Comedy, Drama",7.3,R,['Terry Zwigoff'],"['Thora Birch', 'Scarlett Johansson', 'Steve Buscemi', 'Brad Renfro', 'Illeana Douglas', 'Bob Balaban', 'Stacey Travis', 'Charles C. Stevenson Jr.', 'Dave Sheridan', 'Tom McGowan', 'Debra Azar', 'Brian George', 'Pat Healy', 'Rini Bell', 'T.J. Thyne', 'Ezra Buzzington', 'Lindsey Girardot', 'Joy Bisco', 'Venus DeMilo Thomas', 'Ashley Peldon', 'Chachi Pittman', 'Janece Jordan', 'Kaileigh Brielle Martin', 'Alexander Fors', 'Marc Vann', 'James Sie', 'Paul Keith', 'David Cross', 'J.J. Bad Boy Jones', 'Dylan Jones', 'Martin Grey', 'Steve Pierson', 'Jake La Botz', 'Johnny Irion', 'Nate Wood', 'Charles Schneider', 'Sid Hillman', 'Joshua Wheeler', 'Patrick Fischler', 'Daniel Graves', 'Matt Doherty', 'Joel Michaely', 'Debi Derryberry', 'Joseph Sikora', 'Brett Gilbert', 'Alex Solowitz', 'Tony Ketcham', 'Mary Bogue', 'Brian Jacobs', 'Patrick Yonally', 'Lauren Bowles', 'Lorna Scott', 'Jeff Murray', 'Jerry Rector', 'John Bunnell', 'Diane Salinger', 'Anna Berger', 'Bruce Glover', 'Danny Allen', 'Randall Barnwell', 'Tracy Bennett', 'Joan Blair', 'Michael Chanslor', 'Rebeca Cristian', 'Kacee DeMasi', 'Teri Garr', 'Alan Heitz', 'Ernie Hernandez', 'Felice Hernandez', 'James Matusky', 'Edward T. McAvoy', 'Michelle McGinty', 'Christie McNew', 'Nino Neuboeck', 'Margaret Kontra Palmer', 'Larry Parker', 'Greg Wendell Reid', 'Peter Yarrow']","Ghost World: Directed by Terry Zwigoff. With Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro. Two eccentric best friends graduate high school and respond to a man's romance-seeking newspaper ad as a gag, only to find their lives becoming increasingly complicated.",111
Investigating Sex (2001) ,2001,"Comedy, Drama",4.6,R,['Alan Rudolph'],"['Dermot Mulroney', 'Julie Delpy', 'Robin Tunney', 'Neve Campbell', 'Jeremy Davies', 'Alan Cumming', 'Til Schweiger', 'John Light', 'Nick Nolte', 'Terrence Howard', 'Emily Bruni', 'Tuesday Weld', 'Jacqueline Anderson', 'Marc Hosemann', 'Joseph May', 'Harvey Friedman', 'Jeff Caster', 'Sparka Lee Hall']","Investigating Sex: Directed by Alan Rudolph. With Dermot Mulroney, Julie Delpy, Robin Tunney, Neve Campbell. A group of men and two female stenographers scientifically study sex.",108
By Hook or by Crook (2001) ,2001,"Crime, Drama, Romance",5.7,Not Rated,"['Harry Dodge', 'Silas Howard']","['Silas Howard', 'Harry Dodge', 'Stanya Kahn', 'Carina Gia', 'James Cotner', 'Joan Jett', 'Kris Kovic', 'Maia Lorian', 'Tina Marie Murray', 'Aldo Pisano', 'Nancy Stone', 'Victoria De Mare']","By Hook or by Crook: Directed by Harry Dodge, Silas Howard. With Silas Howard, Harry Dodge, Stanya Kahn, Carina Gia. By Hook or by Crook chronicles the tale of two unlikely friends who commit petty crimes as they search for a path to understanding themselves and the outside world. Silas Howard plays Shy (a transgender man), who leaves his small town after the death of his father, and heads to the big city to live a life of crime. Along the way, he encounters Valentine, a quirky adoptee, in search of his birth mother. An immediate kinship is sparked between these men and they become partners in crime. Suffering money troubles, emotional problems, and physical confrontations, the duo face their issues head on and learn to trust each other and support each other in pursuit of their goals.",98
Bitter Circle (2001) ,2001,"Crime, Drama",7.3,,['William F. Scott'],"['John Wildman', 'Dominic Cuzzocrea', 'Chad Bruce', 'Kiki Inokai', 'Jay Ould', 'Audrey Suzette', 'Tura Perkins', 'Wendi Smallwood', 'Lynette Louise', 'Frank A. Caruso', 'Brian Hamey', 'Don Cullen', 'Angelica Montesano', 'Lazar Rockwood', 'John Tomilson', 'Gregory Dan', 'Caius Ould', 'Ron Davis', 'Milana Vinokur', 'John Sinopoli', 'Robin Hartnel', 'Troy Bramley', 'Gordon Gresko', 'Mike Tomasek', 'Patrick McKenna', 'John Connolly', 'Edgar Cassie', 'Sabrina Cuzzocrea', 'Nathaniel Wallace', 'Helen Hawkins', 'Tanya Bradley', 'Terri Ould', 'Maria Karasyova']","Bitter Circle: Directed by William F. Scott. With John Wildman, Dominic Cuzzocrea, Chad Bruce, Kiki Inokai. Dom is an undercover cop - so deep underground that everyone forgets he exists, even his family. Bitter Circle is a dark, moody, introspective film that will take you to the ""dark side.""",
The Fast and the Furious (2001) ,2001,"Action, Crime, Thriller",6.8,A,['Rob Cohen'],"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Rick Yune', 'Chad Lindberg', 'Johnny Strong', 'Matt Schulze', 'Ted Levine', 'Ja Rule', 'Vyto Ruginis', 'Thom Barry', 'Stanton Rutledge', 'Noel Gugliemi', 'R.J. de Vera', 'Beau Holden', 'Reggie Lee', 'David Douglas', 'Peter Navy Tuiasosopo', 'Neal H. Moritz', 'Doria Anselmo', 'Glenn K. Ota', 'F. Valentino Morales', 'Mike White', 'Delphine Pacific', 'Monica Tamayo', 'Megan Baker', 'Tammy Monica Gegamian', 'John Dohle', 'Lou Reyes', 'James Hart', 'Dave Christian', 'Doug Dingman', 'Steve Scallon', 'Mark Jackson', 'Troy Thomas', 'Ralph Smith', 'Joe Witty', 'Jaime Rubaclava', 'Rick Massa', 'Rick Anzaldo', 'Dan Andreiu', 'Adam Carrera', 'Rob Cohen', 'Gary Cruz', 'Chic Daniel', 'Renee Garcia', 'Da Han', 'Flora Huang', 'Michael G. Kehoe', 'Bret Aaron Knower', 'Sarai Koo', 'Julie Krystina', 'Gilbert Le', 'Raul Limon', ""Talia O'Neal"", 'January Pugh', 'Angela Rockwood', 'Kevin Smith', 'Jimmy Star', 'Felicia Tang', 'Vanessa Viola']","The Fast and the Furious: Directed by Rob Cohen. With Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster. Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.",106
Rustin (2001) ,2001,"Comedy, Drama",5.9,PG-13,['Rick Johnson'],"['Rick Johnson', 'Meat Loaf', 'Ashley Johnson', 'Zachery Ty Bryan', 'Michael Papajohn', 'Shanessa Sweeney', 'Lee Everett', 'Leland L. Jones', 'Jonathan Barbee', 'Dan Beene', 'Dean Biasucci', 'Rick Burgess', ""Bill 'Bubba' Bussey Jr."", 'Kathryn Paige Chandler', 'David Cooley', 'Trish Curry', 'Carla DeFranco', 'Glenn Alan Gardner', 'Jesse Germann', 'Rhoda Griffis', 'Shannon McCrory', 'Afemo Omilami', 'Jonathan Parks Jordan', 'Somer Vaun Perez', 'Mark Prater', 'Raymond Scanlon', 'Andy Stahl', 'Rebecca Stough', 'Shawn Weatherly', 'Libby Whittemore', 'Clark Williams', 'Paul Chramer', 'Greg Sorvig', 'Kevin Wayne']","Rustin: Directed by Rick Johnson. With Rick Johnson, Meat Loaf, Ashley Johnson, Zachery Ty Bryan. Billy Stagen is a former professional football player and present-day sheriff in his hometown, the picturesque Rustin, Alabama.",101
Ablaze (2001) ,2001,"Drama, Action, Thriller",3.4,R,['Jim Wynorski'],"['John Bradley', 'Tom Arnold', 'Ice-T', 'Amanda Pays', 'Cathy Lee Crosby', 'Pat Harrington Jr.', 'Edward Albert', 'Michael Dudikoff', 'Mary Jo Catlett', 'Richard Biggs', 'Christian Oliver', 'Michael Trucco', 'William Zabka', 'Eric James Virgets', 'Michael Cavanaugh', 'Larry Poindexter', 'Melissa Brasselle', 'Carolyn Seymour', 'Christine Mitges', 'Marc Vahanian', 'Sharron Leigh', 'Olivia Shane', 'Robert Clotworthy', 'David Bowe', 'Dorian Lopinto', 'Scotty Cox', 'Dane Farwell', 'Chris Astoyan', 'Hayley Sanchez', 'Jim Wynorski']","Ablaze: Directed by Jim Wynorski. With John Bradley, Tom Arnold, Ice-T, Amanda Pays. An oil refinery blows up, causing a firestorm that threatens a hospital and everyone inside.",97
Chica de Río (2001) ,2001,Comedy,5.6,TV-MA,['Christopher Monger'],"['Hugh Laurie', 'Vanessa Nunes', 'Santiago Segura', 'Patrick Barlow', 'Lia Williams', 'Nelson Xavier', 'Hugh Lloyd', 'John Junkin', 'Julio Levy', 'Paul Jerricho', 'Kacey Ainsworth', 'Glynis Brooks', 'Arthur Cox', 'Ann Morrish', 'Paul Mari', 'Ron Webster', 'Howard Lew Lewis', 'Johnny Barrs', 'Patrick Burke', 'Seb Craig', 'Daniel Ainsleigh', 'Daniel Kruyer', 'Walter Rosa', 'Mario Faine', 'Claudio Penedo', 'Edilon Tupi', 'José Alexandre', 'Paulo César', 'Antonio José de Souza', 'Flávio Nunes', 'Edison Silva', 'Marcil Dos Santos', 'Mario Edelman', 'Daniel Wiederman']","Chica de Río: Directed by Christopher Monger. With Hugh Laurie, Vanessa Nunes, Santiago Segura, Patrick Barlow. Discovering your wife is sleeping with your boss can make a man do strange things. For a Samba-obsessed London clerk, robbing a bank and boarding the first flight to Rio are just the beginning.",102
Exiles in Paradise (2001) ,2001,Drama,6.9,,['Wesley Lowe'],"['Dmitri S. Boudrine', 'Benita Ha', 'JR Bourne', 'Tatiana Chekhova', 'Larissa Blajko', 'Lindsay Bourne', 'Stephen Chang', 'Tara R. Hinecker', 'Steven Man', 'Craig March', 'Tanya Reid']","Exiles in Paradise: Directed by Wesley Lowe. With Dmitri S. Boudrine, Benita Ha, JR Bourne, Tatiana Chekhova.",
